smiles,ic50,glide_ROCK2_6ED6,glide_ROCK2_6ED6_3f,glide_ROCK2_4WOT,vina_ROCK2_6ED6,vina_ROCK2_6ED6_3f,vina_ROCK2_4WOT,cluster
c1ccc(CN2CCC(Nc3ccc4[nH]ncc4c3)CC2)cc1,240.0,-8.59886,-9.45614,-8.8387,-10.996,-11.073,-10.852,0
c1ccc(CN2CCCC(Nc3ccc4[nH]ncc4c3)C2)nc1,240.0,-10.4216,-10.1228,-8.9562,-10.958,-11.368,-10.66,0
c1cncc(CN2CCCC(Nc3ccc4[nH]ncc4c3)C2)c1,72.0,-5.79211,-5.58999,-4.6848,-10.144,-10.931,-10.426,0
c1c[nH]c(CN2CCCC(Nc3ccc4[nH]ncc4c3)C2)c1,11.0,-8.96971,-9.15343,-7.95534,-10.264,-10.582,-10.637,0
c1coc(CN2CCCC(Nc3ccc4[nH]ncc4c3)C2)c1,65.0,-7.68209,-9.00668,-8.71122,-9.859,-10.717,-10.461,0
c1csc(CN2CCCC(Nc3ccc4[nH]ncc4c3)C2)c1,5.0,-8.67069,-8.77302,-8.6325,-9.777,-10.0,-10.341,0
c1cc(SC2CC2)ccc1CN1CCCC(Nc2ccc3[nH]ncc3c2)C1,2130.0,-9.35862,-10.0969,-10.3004,-11.833,-12.349,-13.261,0
c1cc(CN2CCCC(Nc3ccc4[nH]ncc4c3)C2)ccn1,190.0,-8.69143,-7.72169,-8.1711,-10.318,-10.725,-10.163,0
c1cc(CN2CCCC(Nc3ccc4[nH]ncc4c3)C2)co1,180.0,-9.50233,-9.50678,-5.05097,-9.638,-10.362,-10.477,0
c1cc(CN2CCCC(Nc3ccc4[nH]ncc4c3)C2)cs1,3.0,-9.31582,-10.2276,-10.0152,-9.799,-10.284,-10.056,0
c1ccc(CN2CCCC(Nc3ccc4[nH]ncc4c3)CC2)cc1,1750.0,-8.70087,-9.15731,-9.5085,-11.5,-12.253,-10.9,0
Cn1cc(CNC(=O)c2ccc3c(c2)OCc2cnccc2-3)cn1,2970.0,-8.33345,-8.4804,-8.85523,-11.257,-11.113,-11.156,1
Cn1cncc1-c1cccc(CNC(=O)c2ccc3c(c2)OCc2cnccc2-3)c1,12.4,-9.29395,-10.2074,-8.80527,-12.417,-12.946,-12.889,1
CN(C)c1ccc(CN2CCCC(Nc3ccc4[nH]ncc4c3)C2)cc1,1940.0,-8.45143,-9.1661,-9.09549,-11.157,-11.458,-11.467,0
CN(C)Cc1ccc(CN2CCCC(Nc3ccc4[nH]ncc4c3)C2)cc1,13400.0,-7.31666,-8.11015,-8.04171,-11.042,-12.346,-11.414,0
CN(C)C(=O)c1cccc(CNC(=O)c2ccc3c(c2)OCc2cnccc2-3)c1,281.0,-8.20421,-9.56882,-7.88558,-12.317,-12.61,-12.356,1
CNC(=O)c1cccc(CNC(=O)c2ccc3c(c2)OCc2cnccc2-3)c1,1.7,-8.55973,-8.76189,-8.69768,-13.231,-12.606,-12.64,1
COc1cccc(C2CCCCN2C(=O)c2ccc(-c3cn[nH]c3)c(OC)c2)c1,673.0,-8.17343,-7.58692,-8.1018,-13.035,-13.19,-12.491,5
COc1cccc(C2CCCN2C(=O)c2ccc(-c3cn[nH]c3)c(OC)c2)c1,12.6,-8.32586,-6.89297,-7.83655,-12.635,-13.009,-12.464,5
COc1ccc(C2CCCN2C(=O)c2ccc(-c3cn[nH]c3)c(OC)c2)cc1,331.0,-7.13979,-8.50941,-9.58924,-11.778,-11.836,-12.28,5
COc1cc(C(=O)N2CCCC2c2ccccc2OC)ccc1-c1cn[nH]c1,511.0,-7.9772,-9.21178,-8.50012,-12.653,-11.719,-12.182,5
COc1cc(C(=O)N2CCCC2c2ccc3ccccc3c2)ccc1-c1cn[nH]c1,68.3,-5.7954,-7.08111,-5.34454,-13.872,-13.11,-13.673,5
COc1cc(C(=O)N2CCCC2c2ccc3c(c2)OCO3)ccc1-c1cn[nH]c1,75.3,-8.53589,-9.2392,-10.0369,-13.117,-13.366,-12.768,5
COc1cc(C(=O)N2CCCC2c2cccc(Br)c2)ccc1-c1cn[nH]c1,31.0,-3.26641,-2.47082,-4.06493,-11.771,-12.037,-12.105,5
COc1cc(C(=O)N2CCCC2c2cccc(-c3ccnn3C)c2)ccc1-c1cn[nH]c1,1530.0,-10.3457,-8.60921,-8.63349,-13.109,-13.589,-12.885,5
COc1cc(C(=O)N2CCCC2c2cccc(-c3ccn[nH]3)c2)ccc1-c1cn[nH]c1,887.0,-11.27,-10.9032,-7.20227,-12.538,-13.185,-13.052,5
COc1cc(C(=O)N2CCCC2c2cccc(-c3c(C)noc3C)c2)ccc1-c1cn[nH]c1,1570.0,-6.93484,-8.95174,-9.70743,-14.342,-14.672,-14.168,5
COc1cc(C(=O)N2CCCC2c2cccc(-c3ccoc3)c2)ccc1-c1cn[nH]c1,320.0,-9.98411,-7.75295,-7.88574,-12.219,-13.892,-12.627,5
COc1cc(C(=O)N2CCCC2c2cccc(-c3cn[nH]c3)c2)ccc1-c1cn[nH]c1,54.9,-7.35598,-9.38112,-8.37942,-12.231,-14.117,-12.639,5
COc1cc(C(=O)N2CCCC2c2ccc(C(F)(F)F)cc2)ccc1-c1cn[nH]c1,125.0,-9.32664,-9.3297,-8.25368,-13.36,-12.902,-13.314,5
COc1cc(C(=O)N2CCCC2c2ccccc2Cl)ccc1-c1cn[nH]c1,15.8,-7.8466,-8.22501,-8.0988,-12.183,-11.824,-10.652,5
COc1cc(C(=O)N2CCCC2c2cccc(C(=O)NC3CCN(C)CC3)c2)ccc1-c1cn[nH]c1,1.53,-9.27824,-9.80877,-10.0559,-15.685,-15.588,-14.848,5
COc1cc(C(=O)N2CCCC2c2ccccc2F)ccc1-c1cn[nH]c1,14.7,-7.91982,-9.25924,-8.46686,-12.379,-12.163,-12.452,5
COc1cc(C(=O)N2CCC(c3ccccc3)C2)ccc1-c1cn[nH]c1,355.0,-8.47873,-7.51597,-7.41848,-11.101,-12.046,-11.126,5
COc1cc(C(=O)N2CCCC2c2ccccc2)ccc1-c1cn[nH]c1,50.5,-9.86606,-10.567,-9.34642,-12.547,-12.589,-12.183,5
COc1cc(C(=O)N2CCCC2c2cccc(S(N)(=O)=O)c2)ccc1-c1cn[nH]c1,1280.0,-8.68573,-9.43593,-8.84197,-13.119,-11.596,-13.68,5
COc1cc(C(=O)N2CCCC2c2ccc(C)cc2)ccc1-c1cn[nH]c1,215.0,-8.55105,-9.95773,-7.4616,-12.192,-11.921,-12.378,5
COc1cc(C(=O)N2CCCC2c2cccc(C)c2)ccc1-c1cn[nH]c1,61.4,-7.03179,-7.22649,-5.53291,-12.276,-12.737,-12.161,5
COc1cc(C(=O)N2CCCC2c2ccc(Cl)cc2)ccc1-c1cn[nH]c1,114.0,-8.694,-8.99067,-7.67245,-11.966,-11.905,-12.303,5
COc1cc(C(=O)N2CCCC2c2cccc(NC3CCN(C)CC3)c2)ccc1-c1cn[nH]c1,278.0,-9.04754,-9.90058,-10.3139,-14.626,-14.951,-13.109,5
