smiles,ic50,cluster
COc1cccc(CN2C(=O)N(c3ncc(-c4cn[nH]c4)c(OC)n3)CC23CCN(C(=O)C(C)(C)O)CC3)c1,16.0,17
COc1cccc(CN2C(=O)N(c3ncc(-c4cn[nH]c4)c(OC)n3)CC23CCN(C(=O)[C@@H]2CC2(F)F)CC3)c1,16.0,17
COc1cccc(CN2C(=O)N(c3ncc(-c4cn[nH]c4)c(OC)n3)CC23CCN(C(=O)OC(C)(C)C)CC3)c1,16.0,17
COc1cccc(CN2C(=O)N(c3ncc(-c4cn[nH]c4)c(OC)n3)CC23CCN(CC(C)(C)O)CC3)c1,16.0,17
COc1cccc(CNC(=O)c2ccc(-c3cn[nH]c3)c(C)c2)c1,2.28,8
COc1cccc(CNC(=O)c2ccc(-c3cn[nH]c3)c(F)c2)c1,18.9,8
COc1cccc(CNC(=O)c2ccc(-c3cn[nH]c3)c(OC)c2)c1,1.19,8
COc1ccc(CN2CCCC(Nc3ccc4[nH]ncc4c3)C2)cc1,16.0,0
COc1ccc(CN2CCC[C@H](Nc3ccc4[nH]ncc4c3)C2)cc1,102.0,0
COc1cccc(NC2CCN(c3ccc(-c4cn[nH]c4)c(C4CC4)c3)C2=O)c1,55.0,1
COc1cccc(NC2CCN(c3ccc(-c4cn[nH]c4)c(C(F)F)c3)C2=O)c1,1150.0,1
COc1cccc(NC2CCN(c3ccc(-c4cn[nH]c4)c(C(F)(F)F)c3)C2=O)c1,1150.0,1
COc1cccc(NC2CCN(c3ccc(-c4cn[nH]c4)c(C#N)c3)C2=O)c1,1150.0,1
COc1cccc(NC2CCN(c3ccc(-c4cn[nH]c4)c(C(N)=O)c3)C2=O)c1,1150.0,1
COc1cccc(NC2CCN(c3ccc(-c4cn[nH]c4)c(Cl)c3)C2=O)c1,5.0,1
COc1cccc(NC2CCN(c3ccc(-c4cn[nH]c4)c(CO)c3)C2=O)c1,1150.0,1
COc1cccc(NC2CCN(c3ccc(-c4cn[nH]c4)c(F)c3)C2=O)c1,5.0,1
COc1cccc(NC2CCN(c3ccc(-c4cn[nH]c4)c(OC)c3)C2=O)c1,5.0,1
COc1cccc(NC2CCN(c3ccc(-c4cn[nH]c4)c(OC(F)F)c3)C2=O)c1,55.0,1
COc1cccc(NC2CCN(c3ccc(-c4cn[nH]c4)cc3)C2=O)c1,5.0,1
COc1ccc(NC2CCN(c3ccc(-c4cn[nH]c4)c(OC)c3)C2=O)cc1F,1150.0,7
COc1ccc(NC(=O)c2cc3ccc(-c4nccc(Nc5ccc6[nH]ncc6c5)n4)cc3[nH]2)cn1,126.0,2
COc1cc(F)cc(NC2CCN(c3ccc(-c4cn[nH]c4)c(C(F)F)c3)C2=O)c1,1150.0,11
COc1cc(F)cc(NC2CCN(c3ccc(-c4cn[nH]c4)c(C(F)(F)F)c3)C2=O)c1,1150.0,11
COc1cc(F)cc(NC2CCN(c3ccc(-c4cn[nH]c4)c(C#N)c3)C2=O)c1,55.0,11
[C-]#[N+]c1cc(N2CCC(Nc3cc(F)cc(OC)c3)C2=O)ccc1-c1cn[nH]c1,1150.0,11
COc1cc(F)cc(NC2CCN(c3ccc(-c4cn[nH]c4)c(Cl)c3)C2=O)c1,1150.0,11
COc1cc(F)cc(NC2CCN(c3ccc(-c4cn[nH]c4)c(F)c3)C2=O)c1,5.0,11
COc1cc(F)cc(NC2CCN(c3ccc(-c4cn[nH]c4)c(OC)c3)C2=O)c1,5.0,11
COc1cc(F)cc(NC2CCN(c3ccc(-c4cn[nH]c4)cc3)C2=O)c1,5.0,11
COc1cc(NC2CCN(c3ccc(-c4cn[nH]c4)c(C(F)F)c3)C2=O)ccc1F,1150.0,7
COc1cc(NC2CCN(c3ccc(-c4cn[nH]c4)c(C(F)(F)F)c3)C2=O)ccc1F,1150.0,7
COc1cc(NC2CCN(c3ccc(-c4cn[nH]c4)c(C#N)c3)C2=O)ccc1F,1150.0,7
COc1cc(NC2CCN(c3ccc(-c4cn[nH]c4)c(Cl)c3)C2=O)ccc1F,5.0,7
COc1cc(NC2CCN(c3ccc(-c4cn[nH]c4)c(F)c3)C2=O)ccc1F,5.0,7
COc1cc(NC2CCN(c3ccc(-c4cn[nH]c4)c(OC)c3)C2=O)ccc1F,1150.0,7
COc1cc(NC2CCN(c3ccc(-c4cn[nH]c4)c(OC)c3)C2=O)cc(OC)c1,1150.0,1
COc1cc(NC2CCN(c3ccc(-c4cn[nH]c4)c(OCCN(C)C)c3)C2=O)ccc1F,1150.0,7
COc1cc(NC2CCN(c3ccc(-c4cn[nH]c4)c(OC(F)F)c3)C2=O)ccc1F,55.0,7
COc1cc(NC2CCN(c3ccc(-c4cn[nH]c4)cc3)C2=O)ccc1F,5.0,7
COc1cc(NC2CCN(c3ccc(-c4cn[nH]c4)nc3)C2=O)ccc1F,55.0,7
COCc1cc(N2CCC(Nc3cccc(OC)c3)C2=O)ccc1-c1cn[nH]c1,1150.0,1
COCc1cc(N2CCC(Nc3ccc(F)c(OC)c3)C2=O)ccc1-c1cn[nH]c1,1150.0,7
COCc1cc(N2CCC(Nc3cc(F)cc(OC)c3)C2=O)ccc1-c1cn[nH]c1,1150.0,11
COCCC(NC(=O)C1(N)CCN(c2ncnc3[nH]ccc23)CC1)c1ccc(Cl)cc1,204.0,9
COCCNC(=O)c1cccc([C@H]2CC(O)CN2C(=O)c2ccc(-c3cn[nH]c3)c(OC)c2)c1,5.1,18
COCCOc1cc(-c2cn[nH]c2)ccc1NC(=O)[C@H]1Cc2cc(OC)ccc2CN1,25.0,13
COC(=O)c1cccc(-c2cc(C(=O)Nc3ccncc3F)ccc2CN)c1,7.8,10
COC(=O)c1cccc([C@H]2CCCN2C(=O)c2ccc(-c3cn[nH]c3)c(OC)c2)c1,5.83,4
COC(=O)c1cccc(C(=O)Nc2cccc(-c3cc(C(=O)Nc4ccncc4F)ccc3CN)c2)c1,2.1,10
COC(=O)c1ccc(C(=O)Nc2cccc(-c3cc(C(=O)Nc4ccncc4F)ccc3CN)c2)cc1,3.1,10
COC(=O)c1ccc(C(=O)Nc2cccc(NC(=O)COc3ccc4c(=O)ccoc4c3)c2)cc1,29.0,6
COC(=O)c1cccc(CNC(=O)c2ccc(-c3cn[nH]c3)c(OC)c2)c1,0.85,8
COC(=O)c1cccc(NC(=O)c2cccc(-c3cc(C(=O)Nc4ccncc4F)ccc3CN)c2)c1,1.1,10
COC(=O)c1ccc(F)c(C(=O)Nc2cccc(-c3cc(C(=O)Nc4ccncc4F)ccc3CN)c2)c1,1.4,10
COC(=O)c1ccc(F)c(NC(=O)c2cccc(-c3cc(C(=O)Nc4ccncc4F)ccc3CN)c2)c1,1.6,10
COC(=O)c1ccc(NC(=O)c2cc3ccc(-c4nccc(Nc5ccc6[nH]ncc6c5)n4)cc3[nH]2)cc1,33.0,2
COC(=O)c1ccc(NC(=O)c2cccc(-c3cc(C(=O)Nc4ccncc4F)ccc3CN)c2)cc1,4.1,10
COC(=O)Cc1cccc(NC(=O)c2cccc(-c3cc(C(=O)Nc4ccncc4F)ccc3CN)c2)c1,1.1,10
COC(=O)N1CCC2(CC1)CN(c1ncc(-c3cn[nH]c3)c(OC)n1)C(=O)N2Cc1cccc(OC)c1,16.0,17
COC(=O)N1CCC(CNC(=O)c2cccc([C@@H](CO)NC(=O)c3ccc(-c4ccncc4)cc3)c2)CC1,0.57,14
CSc1ccc(CN2CCCC(Nc3ccc4[nH]ncc4c3)C2)cc1,65.8,0
CSc1ccc(CN2CCC[C@@H](Nc3ccc4[nH]ncc4c3)C2)cc1,71.6,0
CSc1ccc(CN2CCC[C@H](Nc3ccc4[nH]ncc4c3)C2)cc1,74.5,0
CS(=O)(=O)c1cccc(CN2CCCC(Nc3ccc4[nH]ncc4c3)C2)c1,721.0,16
CS(=O)(=O)Cc1cccc(CN2CCCC(Nc3ccc4[nH]ncc4c3)C2)c1,137.0,16
CS(=O)(=O)Nc1cccc(CN2CCC(Nc3ccc4[nH]ncc4c3)C2)c1,280.0,16
CS(=O)(=O)Nc1cccc(CN2CCCC(Nc3ccc4[nH]ncc4c3)C2)c1,62.6,16
CS(=O)(=O)Nc1cccc(CN2CCC[C@@H](Nc3ccc4[nH]ncc4c3)C2)c1,101.0,16
CS(=O)(=O)Nc1cccc(CN2CCC[C@H](Nc3ccc4[nH]ncc4c3)C2)c1,49.4,16
CS(=O)(=O)Nc1cccc(CN2CC[C@@H](Nc3ccc4[nH]ncc4c3)C2)c1,276.0,16
CS(=O)(=O)Nc1cccc(CN2CC[C@H](Nc3ccc4[nH]ncc4c3)C2)c1,647.0,16
O=C(COc1ccc2c(=O)ccoc2c1)Nc1cccc(NC(=O)c2ccc(F)cc2)c1,54.0,6
O=C(NCc1cccc(F)c1)c1ccc2c(c1)OCc1cnccc1-2,41.3,3
Fc1ccc(CN2CCC(Nc3cccc4cnccc34)C2)cc1,95.0,5
Fc1ccc(CN2CCCC(Nc3ccc4[nH]ncc4c3)C2)cc1F,10.0,0
Fc1ccc(CN2CCCC(Nc3ccc4[nH]ncc4c3)C2)cc1,25.0,0
Fc1ccc(CN2CCC[C@@H](Nc3ccc4[nH]ncc4c3)C2)cc1F,111.0,0
Fc1ccc(CN2CCC[C@H](Nc3ccc4[nH]ncc4c3)C2)cc1F,58.5,0
O=C(NCc1ccc(F)cc1)c1ccc2c(c1)OCc1cnccc1-2,59.8,3
O=C(COc1ccc2c(=O)ccoc2c1)Nc1cccc(NC(=O)c2ccc(OC(F)(F)F)cc2)c1,77.0,6
Nc1ccc(C(=O)Nc2cccc(NC(=O)COc3ccc4c(=O)ccoc4c3)c2)cc1,83.0,6
Nc1cccc(CN2CCC(Nc3cccc4cnccc34)C2)c1,275.0,5
Nc1cccc(CN2CC[C@@H](Nc3cccc4cnccc34)C2)c1,25.0,5
Nc1cccc(CN2CC[C@H](Nc3cccc4cnccc34)C2)c1,310.0,5
Nc1ccc(CN2CCC(Nc3cccc4cnccc34)C2)cc1,235.0,5
Nc1ccc(CN2CCCC(Nc3ccc4[nH]ncc4c3)C2)cc1,10.0,0
Nc1ccc(CNC(=O)c2ccc3c(c2)OCc2cnccc2-3)cc1,643.0,3
NC1(C(=O)NC(CCCN2CCCC2)c2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1,104.0,9
NC1(C(=O)NC(CCCN2CCCCC2)c2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1,112.0,9
NC1(C(=O)NC(CCCO)c2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1,76.0,9
NC1(C(=O)NC(CCS(N)(=O)=O)c2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1,62.0,9
NC1(C(=O)NC(CO)c2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1,89.0,9
NC1(C(=O)NC(CS(N)(=O)=O)c2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1,37.0,9
NC1(C(=O)N[C@@H](CCN2CCCC2)c2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1,39.0,9
NC1(C(=O)N[C@@H](CCN2CCCCC2)c2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1,34.0,9
NC1(C(=O)N[C@H](CCO)c2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1,112.0,9
NCc1ccc(C(=O)Nc2ccncc2F)cc1-c1cccc(C(=O)Nc2ccccc2)c1,31.0,10
NCc1ccc(C(=O)Nc2ccncc2F)cc1-c1cccc(C(=O)Nc2cccc(C(=O)O)c2)c1,6.6,10
